Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
2090,ANGELOPOLIS,27853774,29,9/10/2019 16:00,7,1147.266957,9/10/2019 12:58
2466,CUITLAHUAC,27853776,33,9/10/2019 21:00,7,1092.806957,9/10/2019 12:58
2375,TORREON,27853809,2,9/10/2019 18:00,7,881.7069565,9/10/2019 12:59
3845,UNIVERSIDAD,27853812,10,9/10/2019 16:00,7,576.8469565,9/10/2019 13:00
1203,SUPER PLAZA ECATEPEC,27853815,20,9/10/2019 16:00,7,426.2969565,9/10/2019 12:59
3876,LAS AGUILAS,27853816,14,9/10/2019 16:00,7,414.3569565,9/10/2019 12:59
1054,COLIMA NORTE,27853817,13,9/10/2019 16:00,7,537.5969565,9/10/2019 12:59
3863,PERIFERICO SUR,27853818,14,9/10/2019 17:00,7,563.9269565,9/10/2019 13:00
3790,METEPEC,27853819,19,9/10/2019 16:00,7,631.3769565,9/10/2019 13:01
1770,PATIO SANTA FE,27853820,18,9/10/2019 16:00,7,683.4969565,9/10/2019 13:02
2381,MORELIA,27853822,75,9/10/2019 18:00,7,1534.626957,9/10/2019 13:00
1404,GALERIAS SALTILLO,27853823,48,9/10/2019 16:00,7,1366.156957,9/10/2019 13:00
2375,TORREON,27853824,2,9/10/2019 20:00,7,171.55,9/10/2019 13:03
3851,AEROPUERTO,27853825,4,9/10/2019 16:00,7,58.90695652,9/10/2019 13:02
3862,AZCAPOTZALCO,27853828,14,9/10/2019 16:00,7,341.1669565,9/10/2019 13:02
4547,EDUARDO MOLINA,27853829,21,9/10/2019 19:00,7,397.6,9/10/2019 13:02
2463,VERACRUZ,27853830,17,9/10/2019 16:00,7,539.5569565,9/10/2019 13:02
3845,UNIVERSIDAD,27853831,15,9/10/2019 16:00,7,537.2269565,9/10/2019 13:04
2431,SAN LUIS POTOSI,27853832,18,9/10/2019 16:00,7,556.4269565,9/10/2019 13:03
3848,TAXQUENA,27853833,18,9/10/2019 18:00,7,818.7669565,9/10/2019 13:03
1462,LERMA TOLUCA,27853834,84,9/10/2019 19:00,7,2289.356957,9/10/2019 13:04
1045,DOMINGO DIEZ,27853855,1,9/10/2019 16:00,7,137.6669565,9/10/2019 13:06
1015,IRAPUATO,27853857,2,9/10/2019 17:00,7,228.5869565,9/10/2019 13:07
2432,DURANGO,27853858,2,9/10/2019 16:00,7,65.25695652,9/10/2019 13:07
3031,IRRIGACION,27853859,15,9/10/2019 17:00,7,782.1169565,9/10/2019 13:06
2345,TEPEYAC,27853860,10,9/10/2019 19:00,7,775.6469565,9/10/2019 13:07
3114,CUMBRES,27853861,10,9/10/2019 16:00,7,319.4869565,9/10/2019 13:07
3876,LAS AGUILAS,27853862,12,9/10/2019 16:00,7,614.4469565,9/10/2019 13:05
3848,TAXQUENA,27853863,62,9/10/2019 17:00,7,804.4769565,9/10/2019 13:07
4018,SANTA MARIA COACALCO,27853864,30,9/10/2019 16:00,7,1483.316957,9/10/2019 13:05
1045,DOMINGO DIEZ,27853885,2,9/10/2019 16:00,7,99.61695652,9/10/2019 13:09
4156,COLA DE BALLENA,27853886,12,9/10/2019 15:00,7,137.79,9/10/2019 13:10
1622,GOMEZ MORIN,27853887,7,9/10/2019 17:00,7,393.6069565,9/10/2019 13:10
3845,UNIVERSIDAD,27853888,13,9/10/2019 17:00,7,659.1769565,9/10/2019 13:09
3862,AZCAPOTZALCO,27853889,84,9/10/2019 17:00,7,1902.916957,9/10/2019 13:09
1139,LA HUASTECA,27853890,14,9/10/2019 16:00,7,282.8069565,9/10/2019 13:08
2284,COFRADIAS,27853892,27,9/10/2019 16:00,7,818.4169565,9/10/2019 13:10
3721,AVILA CAMACHO,27853893,17,9/10/2019 20:00,7,509.8869565,9/10/2019 13:09
5749,PLAZA DE TOROS,27853894,17,9/10/2019 16:00,7,537.9069565,9/10/2019 13:08
2347,TLAHUAC,27853895,51,9/10/2019 21:00,7,1270.66,9/10/2019 13:08
3845,UNIVERSIDAD,27853896,38,9/10/2019 16:00,7,1396.426957,9/10/2019 13:10
2044,VALLE ORIENTE,27853897,45,9/10/2019 17:00,7,1671.096957,9/10/2019 13:08
1022,LOPEZ MATEOS,27853898,39,9/10/2019 17:00,7,-33.91304348,9/10/2019 13:08
3631,TONALA,27853899,2,9/10/2019 18:00,7,279.8769565,9/10/2019 13:11
3015,ENSENADA,27853900,1,9/10/2019 14:00,7,121.6369565,9/10/2019 13:12
1003,PLAYA DEL CARMEN,27853901,9,9/10/2019 17:00,7,559.1369565,9/10/2019 13:11
2382,INTERLOMAS,27853902,3,9/10/2019 16:00,7,146.0869565,9/10/2019 13:12
2644,PATIO TLALPAN,27853903,12,9/10/2019 16:00,7,0,9/10/2019 13:11
383,PUERTA TLATELOLCO,27853904,6,9/10/2019 20:00,7,396.63,9/10/2019 13:13
1770,PATIO SANTA FE,27853905,89,9/10/2019 17:00,7,1776.666957,9/10/2019 13:13
1770,PATIO SANTA FE,27853906,10,9/10/2019 16:00,7,252.6069565,9/10/2019 13:13
3886,LAS ANIMAS,27853907,34,9/10/2019 16:00,7,1621.656957,9/10/2019 13:13
3862,AZCAPOTZALCO,27853909,34,9/10/2019 20:00,7,474.92,9/10/2019 13:12
2765,SAN JOSE DEL CABO,27853910,14,9/10/2019 20:00,7,1891.77,9/10/2019 13:13
3863,PERIFERICO SUR,27853911,27,9/10/2019 16:00,7,636.8569565,9/10/2019 13:11
2342,VALLARTA,27853912,36,9/10/2019 18:00,7,1060.906957,9/10/2019 13:11
